ticker,times_selected
SMCI,12
ALB,9
MRNA,9
VRT,9
APP,9
VST,8
SATS,8
COIN,8
HOOD,8
COHR,8
CRWD,7
NVDA,7
AES,6
CVS,6
WBD,6
FIX,6
CVNA,6
MU,5
CCL,5
NOW,5
CEG,4
ALGN,4
PHM,4
WSM,4
DELL,4
AVGO,4
UAL,4
TER,4
FSLR,4
PLTR,4
NCLH,3
GOOG,3
TPL,3
LITE,3
GNRC,3
EL,3
EQT,3
TPR,3
CBOE,3
DVA,3
GEN,3
TSLA,3
RMD,3
META,3
DVN,3
UBER,3
ULTA,3
CDNS,3
AMD,3
FAST,3
LULU,3
APA,3
LEN,3
MGM,3
HAL,3
GL,3
ERIE,3
SOLV,3
NEM,3
WST,3
ABBV,2
WAT,2
PFE,2
BG,2
PLD,2
PM,2
DECK,2
CHTR,2
NRG,2
VLO,2
NUE,2
FCX,2
LOW,2
KVUE,2
DXCM,2
TECH,2
REGN,2
COP,2
INTU,2
INTC,2
KEYS,2
STLD,2
NKE,2
APD,2
VTR,2
XYZ,2
CNC,2
LRCX,2
DDOG,2
DAL,2
LVS,2
BALL,2
SYF,2
AMT,2
ANET,2
CARR,2
MPWR,2
PYPL,2
VTRS,2
EME,2
PSKY,2
FOX,2
IFF,2
SBAC,2
EMR,2
CRM,2
SW,2
HCA,2
AAPL,2
BA,2
DASH,2
IBKR,2
ACN,2
WDC,2
HUM,2
QCOM,2
KLAC,2
EPAM,2
FICO,1
REG,1
AJG,1
ABNB,1
PEP,1
SYY,1
KEY,1
TSN,1
DLTR,1
LUV,1
AMAT,1
ALL,1
GIS,1
CPB,1
CCI,1
CNP,1
CSX,1
NSC,1
JKHY,1
OTIS,1
DOC,1
ON,1
CRL,1
FOXA,1
CI,1
CHRW,1
KR,1
MOS,1
HSY,1
HPE,1
GEV,1
ADSK,1
HRL,1
TAP,1
CSGP,1
CTVA,1
WRB,1
ROK,1
WYNN,1
DOW,1
BF-B,1
AMGN,1
MO,1
HAS,1
VLTO,1
AON,1
RJF,1
LH,1
MTB,1
ISRG,1
COR,1
SNPS,1
PH,1
EXPE,1
ALLE,1
SO,1
JBL,1
MLM,1
PODD,1
HUBB,1
D,1
FTNT,1
BAX,1
TXT,1
ODFL,1
EW,1
PANW,1
MCHP,1
LLY,1
WDAY,1
ELV,1
KHC,1
WFC,1
AXP,1
PGR,1
EG,1
ADBE,1
GOOGL,1
COST,1
TFC,1
RL,1
ABT,1
UPS,1
CTSH,1
ORLY,1
ROST,1
BKNG,1
NDSN,1
LDOS,1
PSX,1
MCD,1
COF,1
RTX,1
MRK,1
DHR,1
TMO,1
GILD,1
CFG,1
NOC,1
HSIC,1
GM,1
INCY,1
SYK,1
AFL,1
GPC,1
GEHC,1
BBY,1
BKR,1
RF,1
F,1
TTWO,1
HBAN,1
KKR,1
DG,1
BLDR,1
ORCL,1
CTAS,1
